County,Voters,M_18_24,M_25_34,M_35_44,M_45_64,M_67,F_18_24,F_25_34,F_35_44,F_45_64,F_67
AB,1390,24,42,49,98,44,17,42,52,100,61
AB,1427,25,46,64,128,78,21,44,55,126,73
AB,1277,16,31,51,104,58,20,28,61,122,59
AB,1417,29,22,65,124,43,23,43,89,131,57
AB,1116,11,26,49,70,34,13,29,47,76,40
AB,1042,12,26,32,69,24,13,27,31,78,43
AB,1142,18,20,27,79,29,23,29,42,87,51
AB,1108,19,19,47,76,34,10,36,40,78,46
AB,1428,21,39,55,124,57,36,40,56,113,76
AB,1463,31,53,56,103,39,30,54,63,117,55
AB,1415,32,31,44,107,37,34,35,67,104,42
AB,1467,30,34,62,99,51,32,45,59,105,54
AB,846,12,37,46,70,47,17,31,27,60,48
AB,1122,35,47,42,137,77,25,31,53,147,65
AB,1068,19,32,45,118,63,18,27,40,120,77
AB,1284,31,47,51,142,36,23,38,54,157,39
AB,1025,28,41,35,136,32,19,27,28,137,25
AB,889,23,33,33,121,52,26,34,26,129,63
AB,840,23,28,22,94,34,16,13,20,100,36
AB,606,10,17,30,84,36,13,17,14,74,44
AB,208,7,5,7,31,18,3,8,5,23,24
AB,195,9,11,8,25,13,8,6,2,27,17
AB,288,9,6,15,30,25,6,6,8,38,23
AB,316,14,12,7,45,19,6,5,9,35,19
AB,1278,49,70,81,163,80,37,65,76,166,95
AB,890,29,44,46,122,60,19,43,48,147,69
AB,845,21,27,44,140,70,19,31,42,114,85
AB,871,18,38,42,124,44,22,40,50,137,46
AB,877,24,34,41,128,49,29,35,47,134,63
AB,541,14,28,20,81,38,10,19,31,69,50
AB,359,10,20,16,57,21,4,3,18,36,25
AB,275,13,12,19,41,12,10,9,18,36,10
AB,381,11,20,31,60,36,13,16,28,51,27
AB,1036,8,13,27,67,56,8,16,22,78,61
AB,1401,16,32,40,99,47,20,30,47,106,51
AB,1259,13,23,52,71,43,15,22,36,96,49
AB,1125,12,24,34,66,51,4,28,27,93,35
AB,1013,8,25,42,61,57,9,20,25,101,44
AB,1074,9,33,37,70,38,11,26,40,81,30
AB,1053,13,11,27,81,60,8,19,27,100,57
AB,1167,7,17,35,71,55,15,23,27,94,57
AB,1352,21,24,38,120,61,11,23,32,116,74
AB,1166,21,39,40,73,27,26,41,38,73,22
AB,1244,16,22,30,100,66,13,27,28,123,76
AB,1026,13,17,29,88,36,9,16,26,85,37
AB,1306,15,22,28,115,82,15,19,31,108,65
AB,1172,13,26,43,94,61,15,23,39,96,80
AB,1077,13,28,31,106,55,9,18,30,98,71
AB,1125,16,28,35,109,54,13,23,32,96,63
AB,1132,20,27,43,81,34,22,20,42,72,46
AB,96,3,2,3,10,6,2,2,4,6,2
AB,47,1,1,7,10,1,2,1,2,2,0
AB,89,2,2,5,10,2,2,4,4,0,1
AB,1059,16,30,39,112,56,10,33,41,93,62
AB,927,21,36,29,102,56,19,20,29,92,70
AB,1364,22,40,37,143,42,27,32,42,123,40
AB,1151,22,19,28,80,45,20,22,20,94,73
AB,1231,19,20,29,91,61,19,20,35,100,72
AB,1107,22,10,24,80,49,11,17,29,71,48
AB,1318,20,29,36,96,49,21,35,38,94,46
AB,1443,29,43,33,134,41,13,37,45,139,42
AB,880,10,14,16,63,37,9,15,15,52,50
AB,1375,24,24,43,107,41,28,36,45,120,53
AB,552,11,13,12,43,10,5,13,16,34,17
AB,252,6,9,5,30,12,6,5,6,18,14
AB,1076,21,21,29,103,43,19,16,30,72,54
AB,1548,35,54,56,172,96,35,53,59,169,91
AB,1324,24,35,46,127,52,19,35,54,109,53
AB,1467,31,54,58,154,75,22,51,58,171,82
AB,1034,23,27,41,106,59,22,25,42,99,70
AB,194,2,10,9,18,11,7,5,5,22,8
AB,108,4,3,2,19,11,3,2,3,9,19
AB,266,8,11,12,35,16,7,17,8,33,17
AB,1192,23,45,36,130,56,19,44,37,130,47
AB,962,16,31,49,105,47,24,39,46,100,46
AB,1349,26,57,43,139,42,24,53,42,146,35
AB,742,16,33,42,115,58,17,40,40,87,80
AB,303,6,3,10,27,20,8,10,7,34,12
AB,411,7,18,25,56,28,4,8,17,38,18
AB,505,12,22,24,59,29,14,20,21,56,41
AB,369,21,21,20,50,14,18,24,21,38,11
AB,323,7,18,11,50,17,3,8,12,42,15
AB,338,6,20,18,47,33,9,12,12,55,44
AB,171,7,7,15,22,11,2,6,13,25,7
AB,743,21,33,36,105,51,17,34,38,82,57
AB,527,13,25,36,71,38,19,17,32,48,46
AB,83,0,2,6,15,8,3,4,5,2,8
AB,59,3,2,4,8,4,0,1,2,11,5
AB,242,11,6,13,34,15,6,3,10,27,14
AB,329,10,19,20,68,26,9,11,13,47,38
AB,203,4,10,9,30,17,7,6,9,25,38
AB,122,6,7,5,27,12,4,2,12,8,18
AB,229,8,20,10,55,18,7,14,7,37,21
AB,150,2,8,16,28,11,6,5,9,19,15
AB,603,17,39,55,95,57,23,38,39,99,62
AB,541,27,33,37,93,60,28,30,37,79,68
AB,83,5,5,9,15,10,5,4,5,16,9
AB,203,10,12,15,32,20,12,13,15,24,31
AB,604,15,19,30,84,49,11,17,25,67,87
AB,620,34,40,49,73,53,27,17,44,68,66
AB,227,4,6,9,23,17,1,4,6,13,15
AB,694,11,13,25,56,26,11,19,25,42,30
AB,404,11,15,18,47,23,9,16,11,43,33
AB,283,3,10,8,27,18,5,11,10,16,13
AB,801,23,36,26,109,25,17,37,38,81,36
AB,1022,25,38,70,113,45,29,37,61,99,43
AB,804,26,30,31,96,42,11,19,30,66,46
AB,596,17,33,28,75,25,13,26,27,65,22
AB,622,20,25,38,80,38,16,36,24,65,36
AB,458,15,16,32,58,40,14,17,30,46,69
AB,285,4,21,23,58,35,7,14,16,56,53
AB,27,3,3,4,8,2,0,0,3,4,2
AB,1047,25,49,68,151,55,26,45,59,127,89
AB,772,32,35,49,77,37,20,48,53,84,41
AB,346,7,9,12,45,32,6,11,11,34,39
AB,389,6,13,19,55,35,6,12,16,37,40
AB,255,7,9,12,34,11,4,7,12,31,20
AB,269,7,15,14,37,21,6,11,12,30,34
AB,1167,66,71,90,142,58,54,84,65,143,68
AB,312,8,16,22,50,33,13,9,16,28,52
AB,773,25,31,27,102,41,22,28,41,72,63
AB,812,33,52,60,112,66,38,46,40,90,61
AB,257,10,13,8,36,20,7,7,11,38,32
AB,208,8,12,11,39,22,6,6,8,19,34
AB,214,11,17,23,42,39,6,11,21,32,43
AB,585,13,12,26,45,28,15,14,21,49,37
AB,879,21,31,45,96,47,19,22,36,78,76
AB,68,1,3,4,8,13,2,0,3,6,25
AB,239,4,7,4,29,17,9,6,11,23,22
AB,623,12,23,24,38,22,25,40,30,39,24
AB,520,11,24,31,62,34,7,26,38,57,65
AB,331,10,16,21,43,26,13,18,15,50,29
AB,494,11,24,37,59,38,11,23,27,51,57
AB,322,5,7,20,36,31,7,6,17,33,36
AB,646,13,42,35,83,57,17,33,37,90,55
AB,339,6,10,21,53,23,10,16,14,45,31
AB,363,12,26,22,59,31,14,21,19,52,37
AB,581,15,29,33,85,58,16,29,40,67,63
AB,856,19,33,47,113,50,18,32,43,102,86
AB,858,22,46,55,99,38,23,38,63,102,60
AB,1087,33,54,71,153,85,31,33,68,133,122
AB,285,7,17,24,39,23,9,13,22,30,27
AB,307,15,14,23,46,23,10,7,25,42,39
AB,1059,34,61,60,133,75,28,47,62,121,115
AB,1052,34,51,67,133,58,27,39,57,134,63
AB,1505,46,57,76,167,91,48,53,73,148,84
AB,406,23,21,24,51,30,11,16,22,39,63
AB,372,18,31,22,39,18,20,29,18,38,22
AB,471,16,17,26,54,53,11,15,22,41,66
AB,214,9,17,9,46,13,10,8,12,17,29
AB,191,9,5,9,32,22,5,3,10,15,35
AB,135,8,7,10,22,15,5,8,6,14,15
AB,248,7,3,22,24,37,8,4,7,24,40
AB,1552,44,57,73,182,87,27,70,67,166,91
AB,437,11,28,17,63,29,10,15,24,46,44
AB,351,4,11,13,40,22,6,10,9,34,31
AB,338,11,10,10,46,28,9,12,12,41,23
AB,207,8,8,16,20,9,5,6,13,29,10
AB,696,18,16,37,67,36,12,23,32,64,46
AB,120,4,2,11,17,12,2,6,6,14,13
AB,1180,34,75,65,145,45,43,84,58,142,85
AB,205,10,7,14,25,15,2,8,8,21,24
AB,269,5,6,21,29,11,8,8,11,36,21
AB,792,18,29,49,120,58,14,31,32,103,66
AB,119,6,8,7,17,6,4,5,4,20,4
AB,404,14,25,27,63,36,14,19,25,49,37
AB,233,4,4,8,25,25,6,6,10,20,23
AB,225,14,18,14,16,8,17,13,17,19,8
AB,147,0,2,8,17,18,4,4,6,9,14
AB,137,2,6,6,16,11,3,3,4,16,13
AB,146,2,7,9,19,16,6,5,11,15,17
AB,606,21,36,29,95,37,20,24,26,64,56
AB,385,21,24,28,59,29,17,21,25,51,25
AB,120,5,8,7,24,9,7,5,10,10,12
AB,348,18,10,20,49,27,11,17,24,40,30
AB,121,3,11,12,18,10,0,10,5,19,8
AB,60,4,2,3,14,4,2,2,10,5,9
AB,1182,31,68,82,127,56,33,51,76,137,58
AB,756,19,41,38,89,65,20,24,30,97,95
AB,820,28,41,39,89,47,31,22,46,74,33
AB,939,22,41,43,92,30,32,31,49,75,36
AB,1104,39,46,58,108,31,26,44,58,79,21
AB,877,20,34,48,110,26,21,34,47,95,49
AB,226,6,13,6,34,18,3,6,8,25,39
AB,89,7,5,7,17,12,2,2,3,8,15
AB,54,1,0,1,11,12,1,0,0,6,14
AB,149,5,14,10,17,20,2,5,3,19,25
AB,1107,28,39,55,123,45,31,49,55,124,74
AB,1108,33,43,39,98,50,30,35,32,87,51
AB,631,11,24,31,71,35,18,25,27,57,59
AB,629,16,22,41,78,44,14,20,29,63,71
AB,741,34,58,56,78,36,37,71,36,89,55
AB,576,12,28,27,101,64,11,21,29,87,80
AB,271,5,11,15,36,35,1,6,7,31,51
AB,96,1,1,6,11,22,0,0,2,8,31
AB,120,2,2,4,24,12,1,4,5,15,24
AB,825,35,48,49,131,67,29,36,55,119,94
AB,85,2,1,2,9,12,2,5,3,9,14
AB,441,16,14,30,51,45,7,8,19,56,57
AB,306,10,16,17,52,28,6,10,24,43,37
AB,566,21,32,35,90,41,19,21,30,74,83
AB,47,2,2,0,6,9,1,1,1,4,7
AB,806,31,34,46,104,43,18,36,46,85,51
AB,889,40,46,56,113,62,32,50,53,110,76
AB,364,9,12,10,58,21,7,9,11,44,28
AB,664,18,40,32,98,51,22,25,22,91,67
AB,303,13,11,9,53,22,12,7,13,48,26
AB,708,29,36,36,108,47,21,25,32,95,45
AB,925,37,53,39,154,55,34,27,37,127,46
AB,206,4,12,21,26,23,6,9,8,29,16
AB,274,8,11,18,46,32,4,15,17,40,38
AB,500,8,26,25,60,47,11,19,24,56,41
AB,596,22,25,44,72,54,12,30,36,71,45
AB,538,13,28,27,65,35,10,25,38,68,42
AB,218,1,5,19,26,20,3,5,12,30,23
AB,1013,24,56,57,148,84,30,43,43,115,89
AB,820,25,48,47,103,55,22,36,43,103,73
AB,469,23,24,33,72,41,16,22,27,60,62
AB,453,15,31,29,57,38,6,29,14,60,46
AB,715,14,25,37,91,40,15,25,31,70,60
AB,95,0,3,1,15,2,3,1,1,12,7
AB,619,8,19,21,57,41,13,18,20,64,47
AB,219,3,3,14,23,20,7,3,15,21,26
AB,61,4,4,3,9,5,3,2,2,8,6
AB,508,8,21,22,70,50,8,15,20,54,72
AB,51,2,2,6,10,10,1,3,1,4,12
AB,132,2,5,8,14,23,1,4,4,9,20
AB,967,28,33,26,111,66,19,30,23,103,70
AB,221,8,12,13,18,12,5,10,13,13,7
AB,303,4,10,8,29,25,6,6,9,22,34
AB,268,8,7,17,42,31,4,7,14,35,42
AB,50,1,0,4,13,14,2,5,3,6,10
AB,120,4,5,8,22,13,4,3,2,17,20
AB,51,1,1,2,11,11,1,0,3,7,10
AB,356,10,20,16,57,52,11,15,9,39,76
AB,28,0,2,0,7,7,0,0,2,3,7
AB,146,2,9,7,20,23,3,6,6,18,39
AB,1386,47,74,78,159,73,39,64,55,156,126
AB,1097,25,55,53,83,66,14,46,44,99,77
AB,33,3,3,2,6,1,1,2,0,5,1
AB,215,16,14,12,16,20,7,12,10,15,8
AB,198,8,17,5,29,10,7,11,12,36,13
AB,859,43,45,57,143,66,35,45,46,93,76
AB,348,9,31,33,67,36,11,20,21,40,46
AB,185,9,22,15,49,31,4,9,16,24,22
AB,346,7,19,19,51,40,13,12,13,43,54
AB,117,1,5,8,15,14,2,5,6,14,27
AB,101,3,15,2,17,10,7,5,7,17,9
AB,129,1,7,6,24,10,7,4,6,20,14
AB,157,6,5,11,28,16,4,5,6,24,20
AB,570,23,23,31,75,46,10,14,24,58,69
AB,257,9,12,20,38,20,5,11,18,36,31
AB,260,8,15,8,41,37,5,8,17,25,40
AB,176,4,8,11,33,24,6,6,2,16,21
AB,89,0,3,6,20,15,2,3,4,6,14
AB,72,0,3,6,12,9,3,5,4,12,12
AB,128,1,2,4,9,7,0,6,11,37,16
AB,459,6,20,21,53,50,10,14,18,64,55
AB,434,8,18,21,54,32,11,8,19,49,27
AB,275,10,10,17,28,11,13,12,20,25,16
AB,588,25,30,26,77,49,21,25,29,48,82
AB,361,15,14,16,51,35,6,9,17,24,38
AB,647,22,56,53,82,28,36,59,45,83,32
AB,187,11,11,3,40,8,10,10,11,24,15
AB,668,24,26,35,110,41,12,24,34,85,59
AB,657,20,35,38,92,45,18,22,31,84,56
AB,126,3,8,6,25,9,5,4,8,25,10
AB,683,21,31,33,88,53,14,18,34,81,67
AB,566,17,23,20,97,44,14,15,17,71,46
AB,1047,39,59,80,118,88,33,59,69,133,123
AB,46,0,4,8,6,4,1,2,3,0,3
AB,232,14,16,17,27,6,10,20,17,20,17
AB,574,17,22,33,76,63,10,27,28,84,85
AB,698,20,45,43,63,27,18,31,33,70,19
AB,1340,35,58,63,117,66,25,46,52,133,68
AB,351,8,11,14,41,19,13,8,17,30,20
AB,1055,39,68,80,116,46,46,73,65,103,43
AB,673,41,38,34,68,23,34,28,24,38,16
AB,749,43,77,71,76,25,39,71,62,72,22
AB,315,9,11,7,30,13,9,12,12,17,10
AB,1327,24,58,51,166,87,29,42,51,134,119
AB,515,17,23,20,81,36,18,18,23,53,53
AB,376,6,17,17,40,29,7,14,19,34,29
AB,446,14,15,28,50,26,13,11,21,38,36
AB,878,25,36,55,102,57,22,28,48,111,64
AB,65,3,2,2,9,3,2,2,6,6,8
AB,404,14,22,25,39,28,9,19,21,46,23
AB,273,10,12,19,30,14,8,8,18,26,10
AB,584,15,43,41,67,51,23,28,35,73,70
AB,149,4,15,9,20,11,10,4,11,21,11
AB,139,5,2,7,34,17,4,3,4,16,16
AB,67,5,4,3,13,7,4,1,5,12,7
AB,111,5,3,8,20,15,1,5,7,16,22
AB,203,3,15,10,36,24,4,4,10,24,26
AB,338,7,14,16,40,24,10,7,14,44,17
AB,132,6,5,6,13,13,2,6,3,13,10
AB,794,20,36,46,107,46,15,29,35,94,50
AB,184,5,8,9,26,14,6,9,12,31,5
AB,1169,39,68,62,153,97,27,56,49,144,112
AB,640,16,22,42,84,54,13,20,36,72,45
AB,261,4,17,11,31,31,10,9,6,36,34
AB,1169,35,62,52,162,84,22,44,44,157,93
AB,525,9,20,26,69,42,10,20,19,63,51
AB,225,5,8,11,36,22,4,8,8,25,16
AB,156,0,4,7,11,17,3,7,5,17,12
AB,347,10,10,12,44,18,8,6,13,44,15
AB,1043,24,44,50,108,34,21,41,47,106,35
AB,83,5,4,2,13,4,1,3,0,7,2
AB,976,34,25,40,116,102,24,28,36,107,110
AB,1148,27,51,57,104,56,27,40,38,90,51
AB,578,18,33,55,76,54,19,34,35,66,81
AB,473,17,29,28,71,21,23,16,26,68,42
AB,438,21,21,32,64,43,15,15,27,58,68
AB,560,14,25,31,60,33,21,16,26,63,37
AB,449,14,19,20,47,20,12,17,19,43,21
AB,450,17,25,34,55,18,21,28,23,42,19
AB,1408,45,80,82,163,87,39,68,62,150,76
AB,967,19,26,26,82,56,16,19,24,78,76
AB,791,21,32,33,83,42,15,28,32,66,53
AB,1169,19,44,40,117,63,20,33,39,121,99
AB,278,10,12,9,31,11,10,7,10,29,14
AB,110,1,6,2,14,17,0,2,4,12,13
AB,276,4,3,8,28,25,12,5,20,21,56
AB,152,2,5,7,16,11,5,2,6,15,10
AB,226,5,6,5,27,15,2,6,4,12,31
AB,1102,59,55,84,205,101,45,64,81,138,139
AB,1553,70,88,97,195,92,47,65,99,189,127
AB,138,6,6,4,26,7,7,8,9,16,13
AB,154,8,5,9,31,10,7,5,19,15,12
AB,394,14,16,20,57,17,13,19,23,44,35
AB,251,3,4,13,29,35,5,6,7,28,43
AB,309,13,15,14,54,25,17,13,18,33,27
AB,284,11,21,13,58,15,13,13,23,28,33
AB,715,24,30,48,109,69,19,28,41,101,83
AB,849,28,39,54,96,51,20,44,45,87,54
AB,1069,17,47,63,136,60,22,58,64,120,56
AB,1322,39,68,76,125,60,25,60,75,147,66
AB,585,13,18,30,57,43,16,19,34,59,43
AB,146,4,10,9,18,4,3,3,2,15,3
AB,166,4,11,14,22,16,8,2,11,22,13
AB,324,8,14,16,32,16,11,16,18,33,16
AR,825,2,22,20,49,21,9,12,23,62,28
AR,1058,17,17,33,60,41,9,19,35,62,62
AR,1116,9,19,20,69,53,13,22,35,72,56
AR,1239,9,29,47,66,62,10,29,37,95,70
AR,1205,10,26,35,77,44,12,30,37,80,65
AR,915,5,18,24,39,38,2,15,34,58,46
AR,918,4,16,33,41,32,6,30,24,52,60
AR,1805,11,47,67,128,49,26,46,56,116,69
AR,1012,13,20,26,60,30,11,30,25,71,47
AR,1176,10,20,35,73,41,16,21,36,89,57
AR,1339,6,32,33,79,48,15,36,34,74,69
AR,831,9,13,28,45,46,8,24,25,61,41
AR,968,7,10,39,47,37,11,25,36,66,41
AR,1351,6,32,44,59,56,12,41,53,79,59
AR,1002,5,13,30,70,62,11,16,35,61,81
AR,917,10,19,53,51,53,6,14,48,57,71
AR,1504,16,37,64,82,26,13,44,69,103,32
AR,1367,16,37,46,76,39,8,28,46,106,51
AR,1238,13,32,52,81,35,6,27,42,97,38
AR,1354,17,46,59,83,25,12,44,58,90,27
AR,1577,14,31,65,91,62,15,35,47,127,52
AR,1450,15,30,61,71,54,6,27,52,75,56
AR,1290,6,26,47,66,25,11,28,56,80,31
AR,1372,6,28,51,59,40,12,30,48,75,51
AR,1403,15,39,63,54,49,10,37,49,82,34
AR,1222,10,14,47,63,35,7,19,39,72,35
AR,1350,21,23,42,88,31,15,26,61,90,23
AR,1451,10,29,54,77,39,9,25,61,83,38
AR,1240,9,24,53,64,33,9,31,37,90,24
AR,1412,15,20,79,66,26,16,41,88,81,33
AR,1536,24,34,49,102,65,19,32,45,114,45
AR,1476,9,30,55,72,44,18,37,60,92,50
AR,1480,11,22,45,87,34,12,25,51,90,36
AR,1440,15,28,39,85,45,17,27,49,91,61
AR,1156,17,33,24,100,38,12,28,32,93,33
AR,1627,17,37,39,87,52,28,26,50,121,53
AR,1203,8,21,39,78,45,10,29,38,78,39
AR,1528,19,39,68,92,58,17,52,57,94,53
AR,833,6,22,19,60,27,8,23,20,56,24
AR,1201,16,22,40,95,55,13,23,56,97,52
AR,1406,19,40,44,100,35,15,35,50,92,36
AR,1336,26,30,36,99,42,23,22,42,95,32
AR,718,8,29,21,52,18,10,13,22,40,20
AR,1170,9,23,43,55,26,12,25,33,70,26
AR,1293,16,27,38,81,34,15,31,42,86,59
AR,1056,10,26,36,64,44,12,30,34,82,52
AR,1219,11,34,28,79,29,11,29,35,75,40
AR,1678,10,25,42,68,41,22,30,44,90,64
AR,1618,12,30,41,65,41,11,39,39,68,49
AR,1239,9,19,23,60,24,17,19,30,65,44
AR,1643,12,26,41,82,47,12,34,35,96,70
AR,1637,10,32,49,65,63,10,30,45,73,66
AR,1540,14,28,34,78,35,13,19,33,68,40
AR,1923,21,50,79,122,60,16,63,78,113,54
AR,1705,23,31,54,108,53,14,32,52,111,51
AR,871,11,20,32,68,20,11,23,31,56,23
AR,1400,11,32,40,83,40,15,35,39,90,37
AR,1568,25,39,44,92,37,13,37,46,81,45
AR,1327,15,15,33,59,33,12,26,29,58,17
AR,1564,17,31,47,77,39,13,41,53,75,39
AR,1236,21,19,38,65,33,20,24,35,68,36
AR,1412,36,28,42,85,37,36,27,39,83,22
AR,1662,14,27,43,86,27,13,33,43,81,39
AR,1525,4,28,36,76,31,12,27,32,74,45
AR,1472,18,29,40,61,37,14,34,42,80,52
AR,1607,20,29,47,84,24,19,42,48,105,50
AR,1665,12,33,37,94,29,17,36,38,101,47
AR,1389,23,32,37,85,48,15,28,46,74,72
AR,1204,16,18,46,60,47,12,19,41,68,57
AR,1413,11,24,44,73,53,12,36,44,94,46
AR,1407,21,33,47,72,25,13,40,38,77,34
AR,1485,24,25,26,90,26,16,26,36,73,23
AR,1523,10,13,32,51,15,13,22,32,45,12
AR,1016,12,28,31,55,18,12,32,32,62,30
AR,1304,7,36,66,47,19,8,57,60,57,25
AR,1650,11,31,35,92,32,13,20,42,80,36
AR,1151,12,29,28,59,25,10,21,27,49,16
AR,1510,20,24,37,91,30,11,30,35,96,34
AR,1567,23,26,41,113,57,17,41,54,110,54
AR,1246,4,25,38,83,15,14,27,37,76,13
AR,1188,11,45,28,96,19,22,39,26,101,26
AR,1363,20,40,33,86,13,11,43,36,94,14
AR,1474,14,17,35,74,33,13,24,38,82,36
AR,1870,19,36,61,114,41,15,40,49,111,53
AR,1532,25,35,41,87,34,7,34,41,93,17
AR,1216,6,25,37,63,22,9,25,33,64,28
AR,1354,10,30,36,82,17,10,25,39,78,19
AR,311,7,4,7,34,22,3,7,12,26,18
AR,945,12,21,21,62,27,8,18,18,82,41
AR,1422,16,30,42,72,47,15,33,45,93,59
AR,1511,19,25,38,98,38,20,31,42,83,72
AR,922,12,16,28,50,33,4,17,21,65,46
AR,1156,4,11,20,59,47,14,21,22,78,53
AR,1240,6,12,22,46,25,7,13,15,40,26
AR,1433,17,23,42,77,21,14,25,37,75,32
AR,1227,7,22,21,64,25,15,22,22,68,34
AR,1481,8,25,30,72,33,6,15,35,88,53
AR,1026,14,28,33,54,39,12,21,38,67,47
AR,1008,6,22,25,58,34,11,25,37,74,53
AR,1295,2,24,46,64,38,10,22,52,76,39
AR,479,5,7,17,32,18,5,11,19,34,17
AR,796,13,21,42,65,15,11,22,46,77,20
AR,1734,21,23,60,131,72,19,40,64,152,68
AR,711,7,26,29,57,34,4,21,23,60,25
AR,1035,13,19,30,59,34,14,17,32,56,25
AR,1628,16,32,57,99,40,17,28,55,91,47
